model,params,representation,accuracy,f1_macro,f1_weighted,Pop Rock_precision,Pop Rock_recall,Pop Rock_f1_score,Pop Rock_samples,Power-Pop_precision,Power-Pop_recall,Power-Pop_f1_score,Power-Pop_samples,Tecnopop_precision,Tecnopop_recall,Tecnopop_f1_score,Tecnopop_samples,total_samples
svm,{C: 10.0| kernel: rbf| max_iter: 50000},BoW|PoS|CET,0.67,0.5,0.64,0.7,0.88,0.78,1651,0.5,0.15,0.24,349,0.58,0.42,0.49,651,2651
cnb,{},BoW|PoS,0.65,0.53,0.64,0.73,0.78,0.76,1651,0.38,0.27,0.32,349,0.53,0.52,0.53,651,2651
bnb,{},BoW|PoS,0.65,0.52,0.64,0.71,0.83,0.76,1651,0.4,0.26,0.31,349,0.56,0.43,0.48,651,2651
cnb,{},BoW,0.64,0.53,0.63,0.73,0.76,0.74,1651,0.36,0.27,0.31,349,0.52,0.54,0.53,651,2651
bnb,{},BoW|CET,0.65,0.53,0.63,0.71,0.8,0.76,1651,0.39,0.32,0.35,349,0.55,0.42,0.48,651,2651
svm,{C: 10.0| kernel: rbf| max_iter: 50000},BoW|CET,0.67,0.49,0.63,0.7,0.89,0.78,1651,0.48,0.13,0.21,349,0.58,0.41,0.48,651,2651
bnb,{},BoW,0.65,0.51,0.63,0.7,0.83,0.76,1651,0.35,0.23,0.27,349,0.58,0.42,0.49,651,2651
bnb,{},BoW|PoS|CET,0.62,0.52,0.62,0.72,0.75,0.73,1651,0.34,0.38,0.36,349,0.5,0.43,0.46,651,2651
lr,{C: 0.001| penalty: l2},BoW|PoS|CET,0.67,0.47,0.62,0.68,0.92,0.78,1651,0.47,0.1,0.17,349,0.64,0.35,0.45,651,2651
lr,{C: 0.001| penalty: l2},BoW|CET,0.67,0.47,0.62,0.68,0.92,0.78,1651,0.47,0.1,0.17,349,0.64,0.35,0.45,651,2651
lr,{C: 0.001| penalty: l2},BoW|PoS,0.67,0.46,0.62,0.68,0.92,0.78,1651,0.51,0.1,0.16,349,0.63,0.34,0.44,651,2651
lr,{C: 0.001| penalty: l2},BoW,0.67,0.45,0.61,0.68,0.92,0.78,1651,0.47,0.09,0.15,349,0.64,0.33,0.43,651,2651
rf,{min_samples_split: 4| n_estimators: 10},BoW,0.64,0.41,0.58,0.67,0.91,0.77,1651,0.34,0.05,0.09,349,0.52,0.27,0.36,651,2651
rf,{min_samples_split: 6| n_estimators: 10},BoW|PoS|CET,0.64,0.4,0.58,0.66,0.92,0.77,1651,0.3,0.05,0.08,349,0.57,0.25,0.35,651,2651
rf,{min_samples_split: 10| n_estimators: 10},BoW|PoS,0.65,0.4,0.57,0.66,0.93,0.77,1651,0.41,0.05,0.09,349,0.57,0.24,0.33,651,2651
rf,{min_samples_split: 7| n_estimators: 10},BoW|CET,0.63,0.39,0.57,0.66,0.91,0.76,1651,0.29,0.05,0.09,349,0.51,0.24,0.32,651,2651
svm,{C: 100.0| kernel: rbf| max_iter: 50000},PoS|CET,0.6,0.39,0.55,0.65,0.87,0.74,1651,0.31,0.09,0.14,349,0.41,0.21,0.27,651,2651
rf,{min_samples_split: 10| n_estimators: 10},PoS|CET,0.61,0.38,0.55,0.65,0.89,0.75,1651,0.33,0.07,0.12,349,0.41,0.21,0.27,651,2651
dt,{criterion: gini},BoW,0.56,0.42,0.55,0.68,0.72,0.7,1651,0.2,0.17,0.19,349,0.39,0.37,0.38,651,2651
mnb,{},BoW,0.65,0.35,0.55,0.65,0.98,0.78,1651,0.5,0.0,0.01,349,0.74,0.16,0.26,651,2651
dt,{criterion: gini},BoW|CET,0.54,0.42,0.54,0.67,0.69,0.68,1651,0.23,0.19,0.21,349,0.36,0.37,0.36,651,2651
rf,{min_samples_split: 9| n_estimators: 10},CET,0.6,0.38,0.54,0.64,0.86,0.74,1651,0.29,0.07,0.11,349,0.4,0.22,0.28,651,2651
svm,{C: 1.0| kernel: linear| max_iter: 50000},BoW,0.61,0.37,0.54,0.65,0.89,0.75,1651,0.2,0.08,0.11,349,0.47,0.17,0.25,651,2651
gnb,{},CET,0.55,0.42,0.54,0.66,0.72,0.69,1651,0.21,0.25,0.23,349,0.41,0.28,0.33,651,2651
dt,{criterion: gini},BoW|PoS|CET,0.54,0.41,0.54,0.67,0.68,0.67,1651,0.22,0.18,0.2,349,0.36,0.38,0.37,651,2651
dt,{criterion: gini},BoW|PoS,0.53,0.41,0.53,0.67,0.66,0.67,1651,0.21,0.21,0.21,349,0.36,0.37,0.37,651,2651
rf,{min_samples_split: 10| n_estimators: 9},PoS,0.6,0.34,0.53,0.64,0.89,0.74,1651,0.2,0.02,0.04,349,0.39,0.18,0.25,651,2651
gnb,{},PoS,0.59,0.36,0.53,0.64,0.85,0.73,1651,0.18,0.02,0.04,349,0.4,0.24,0.3,651,2651
knn,19.0,CET,0.62,0.34,0.53,0.64,0.94,0.76,1651,0.33,0.03,0.05,349,0.46,0.13,0.2,651,2651
svm,{C: 100.0| kernel: rbf| max_iter: 50000},CET,0.61,0.32,0.52,0.63,0.94,0.75,1651,0.19,0.01,0.03,349,0.43,0.11,0.18,651,2651
svm,{C: 1.0| kernel: linear| max_iter: 50000},BoW|PoS,0.59,0.35,0.52,0.63,0.88,0.73,1651,0.23,0.07,0.11,349,0.34,0.13,0.19,651,2651
knn,19.0,PoS|CET,0.62,0.33,0.52,0.63,0.95,0.76,1651,0.48,0.04,0.07,349,0.43,0.1,0.16,651,2651
mnb,{},BoW|PoS,0.64,0.31,0.52,0.64,1.0,0.78,1651,0.0,0.0,0.0,349,0.88,0.09,0.16,651,2651
dt,{criterion: entropy},CET,0.51,0.38,0.51,0.65,0.66,0.66,1651,0.2,0.19,0.19,349,0.3,0.3,0.3,651,2651
svm,{C: 10.0| kernel: rbf| max_iter: 50000},PoS,0.62,0.3,0.51,0.63,0.97,0.76,1651,0.0,0.0,0.0,349,0.52,0.08,0.13,651,2651
knn,15.0,BoW,0.59,0.31,0.51,0.63,0.89,0.74,1651,0.0,0.0,0.0,349,0.31,0.15,0.2,651,2651
knn,15.0,BoW|PoS,0.6,0.3,0.51,0.63,0.93,0.75,1651,0.0,0.0,0.0,349,0.33,0.1,0.16,651,2651
gnb,{},PoS|CET,0.49,0.41,0.51,0.68,0.57,0.62,1651,0.2,0.39,0.26,349,0.37,0.33,0.35,651,2651
cnb,{},PoS|CET,0.61,0.31,0.5,0.63,0.95,0.76,1651,0.27,0.13,0.17,349,1.0,0.0,0.0,651,2651
knn,17.0,BoW|PoS|CET,0.62,0.28,0.5,0.63,0.98,0.77,1651,0.2,0.0,0.01,349,0.48,0.04,0.07,651,2651
knn,21.0,PoS,0.61,0.3,0.5,0.63,0.95,0.76,1651,0.15,0.01,0.02,349,0.4,0.07,0.12,651,2651
lr,{C: 1.0| penalty: l2},PoS|CET,0.63,0.29,0.5,0.63,0.99,0.77,1651,0.5,0.01,0.02,349,0.62,0.04,0.08,651,2651
knn,13.0,BoW|CET,0.61,0.3,0.5,0.63,0.95,0.76,1651,0.08,0.0,0.01,349,0.34,0.08,0.14,651,2651
bnb,{},CET,0.53,0.36,0.5,0.65,0.74,0.69,1651,0.19,0.33,0.24,349,0.36,0.09,0.15,651,2651
dt,{criterion: gini},PoS|CET,0.49,0.37,0.49,0.65,0.62,0.63,1651,0.19,0.19,0.19,349,0.29,0.31,0.3,651,2651
lr,{C: 1.0| penalty: l2},CET,0.63,0.28,0.49,0.63,0.99,0.77,1651,0.25,0.01,0.01,349,0.61,0.03,0.05,651,2651
lr,{C: 0.1| penalty: l2},PoS,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.75,0.0,0.01,651,2651
dt,{criterion: entropy},PoS,0.47,0.35,0.48,0.63,0.61,0.62,1651,0.14,0.15,0.14,349,0.29,0.31,0.3,651,2651
mnb,{},PoS,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
mnb,{},CET,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
mnb,{},BoW|PoS|CET,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
mnb,{},BoW|CET,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
mnb,{},PoS|CET,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
bnb,{},PoS,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
cnb,{},BoW|CET,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
cnb,{},BoW|PoS|CET,0.62,0.26,0.48,0.62,1.0,0.77,1651,0.0,0.0,0.0,349,0.0,0.0,0.0,651,2651
cnb,{},CET,0.48,0.34,0.47,0.65,0.63,0.64,1651,0.19,0.47,0.27,349,0.31,0.08,0.12,651,2651
bnb,{},PoS|CET,0.42,0.38,0.45,0.68,0.43,0.53,1651,0.19,0.43,0.26,349,0.31,0.39,0.35,651,2651
cnb,{},PoS,0.42,0.32,0.43,0.62,0.47,0.53,1651,0.09,0.08,0.08,349,0.28,0.48,0.35,651,2651
gnb,{},BoW|CET,0.26,0.28,0.26,0.7,0.12,0.2,1651,0.15,0.86,0.25,349,0.58,0.31,0.4,651,2651
gnb,{},BoW|PoS|CET,0.26,0.28,0.26,0.7,0.12,0.2,1651,0.15,0.86,0.25,349,0.58,0.31,0.4,651,2651
gnb,{},BoW|PoS,0.26,0.28,0.25,0.7,0.12,0.2,1651,0.15,0.86,0.25,349,0.58,0.31,0.4,651,2651
gnb,{},BoW,0.26,0.28,0.25,0.7,0.12,0.2,1651,0.15,0.86,0.25,349,0.58,0.31,0.4,651,2651
