model,params,representation,accuracy,f1_macro,f1_weighted,Heavy Metal_precision,Heavy Metal_recall,Heavy Metal_f1_score,Heavy Metal_samples,Punk Rock_precision,Punk Rock_recall,Punk Rock_f1_score,Punk Rock_samples,Soft Rock_precision,Soft Rock_recall,Soft Rock_f1_score,Soft Rock_samples,total_samples
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW|PoS,0.71,0.65,0.7,0.75,0.8,0.77,1911,0.65,0.72,0.68,1409,0.69,0.38,0.49,587,3907
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW|CET,0.7,0.64,0.69,0.75,0.79,0.77,1911,0.65,0.71,0.68,1409,0.65,0.38,0.48,587,3907
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW|PoS|CET,0.7,0.64,0.69,0.75,0.79,0.77,1911,0.65,0.71,0.68,1409,0.66,0.39,0.48,587,3907
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW,0.7,0.64,0.69,0.74,0.8,0.77,1911,0.65,0.71,0.68,1409,0.68,0.37,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW|PoS|CET,0.68,0.63,0.68,0.74,0.77,0.76,1911,0.63,0.68,0.66,1409,0.59,0.41,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW|PoS,0.68,0.63,0.68,0.74,0.77,0.76,1911,0.63,0.68,0.66,1409,0.59,0.41,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW|CET,0.68,0.63,0.68,0.74,0.77,0.76,1911,0.64,0.68,0.66,1409,0.58,0.41,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW,0.68,0.63,0.67,0.73,0.76,0.75,1911,0.63,0.67,0.65,1409,0.58,0.41,0.48,587,3907
bnb,{},BoW|CET,0.66,0.63,0.66,0.78,0.65,0.71,1911,0.61,0.69,0.65,1409,0.5,0.61,0.55,587,3907
bnb,{},BoW|PoS,0.65,0.63,0.66,0.78,0.64,0.7,1911,0.6,0.69,0.64,1409,0.5,0.59,0.54,587,3907
bnb,{},BoW|PoS|CET,0.65,0.63,0.66,0.77,0.64,0.7,1911,0.61,0.68,0.64,1409,0.49,0.62,0.55,587,3907
bnb,{},BoW,0.65,0.63,0.66,0.77,0.65,0.7,1911,0.6,0.7,0.65,1409,0.5,0.57,0.54,587,3907
cnb,{},BoW,0.65,0.6,0.65,0.75,0.69,0.72,1911,0.58,0.69,0.63,1409,0.51,0.4,0.45,587,3907
cnb,{},BoW|PoS,0.65,0.61,0.65,0.75,0.69,0.72,1911,0.59,0.69,0.64,1409,0.51,0.42,0.46,587,3907
mnb,{},BoW,0.64,0.51,0.61,0.69,0.78,0.73,1911,0.58,0.68,0.63,1409,0.71,0.1,0.17,587,3907
gnb,{},BoW|CET,0.57,0.56,0.59,0.79,0.58,0.67,1911,0.63,0.47,0.54,1409,0.32,0.8,0.46,587,3907
mnb,{},BoW|PoS,0.63,0.48,0.59,0.66,0.81,0.73,1911,0.58,0.63,0.61,1409,0.82,0.05,0.09,587,3907
gnb,{},BoW|PoS,0.57,0.56,0.59,0.79,0.58,0.67,1911,0.63,0.47,0.54,1409,0.32,0.8,0.46,587,3907
rf,{'min_samples_split': 10| 'n_estimators': 10},BoW,0.62,0.51,0.59,0.65,0.78,0.71,1911,0.57,0.58,0.58,1409,0.55,0.16,0.24,587,3907
gnb,{},BoW|PoS|CET,0.57,0.56,0.59,0.79,0.58,0.67,1911,0.63,0.48,0.54,1409,0.32,0.8,0.46,587,3907
gnb,{},BoW,0.57,0.56,0.59,0.79,0.58,0.67,1911,0.63,0.47,0.54,1409,0.32,0.8,0.46,587,3907
rf,{'min_samples_split': 10| 'n_estimators': 10},BoW|CET,0.61,0.5,0.59,0.65,0.78,0.71,1911,0.57,0.57,0.57,1409,0.47,0.16,0.24,587,3907
rf,{'min_samples_split': 4| 'n_estimators': 10},BoW|PoS|CET,0.6,0.49,0.57,0.63,0.78,0.7,1911,0.56,0.54,0.55,1409,0.48,0.15,0.22,587,3907
rf,{'min_samples_split': 10| 'n_estimators': 9},BoW|PoS,0.59,0.47,0.56,0.62,0.77,0.69,1911,0.55,0.54,0.54,1409,0.44,0.12,0.19,587,3907
dt,{'criterion': 'entropy'},BoW,0.54,0.48,0.54,0.62,0.64,0.63,1911,0.51,0.48,0.49,1409,0.33,0.33,0.33,587,3907
dt,{'criterion': 'gini'},BoW|PoS,0.54,0.48,0.54,0.63,0.66,0.64,1911,0.52,0.5,0.51,1409,0.3,0.28,0.29,587,3907
dt,{'criterion': 'entropy'},BoW|PoS|CET,0.53,0.47,0.53,0.63,0.62,0.63,1911,0.49,0.51,0.5,1409,0.3,0.3,0.3,587,3907
dt,{'criterion': 'gini'},BoW|CET,0.53,0.48,0.53,0.63,0.62,0.63,1911,0.49,0.51,0.5,1409,0.31,0.29,0.3,587,3907
svm,{'C': 100.0| 'kernel': 'rbf'| 'max_iter': 50000},PoS|CET,0.51,0.42,0.49,0.57,0.68,0.62,1911,0.46,0.44,0.45,1409,0.29,0.14,0.19,587,3907
rf,{'min_samples_split': 9| 'n_estimators': 10},PoS|CET,0.51,0.41,0.49,0.57,0.7,0.63,1911,0.45,0.43,0.44,1409,0.31,0.12,0.18,587,3907
rf,{'min_samples_split': 10| 'n_estimators': 8},CET,0.49,0.41,0.48,0.55,0.65,0.6,1911,0.44,0.44,0.44,1409,0.31,0.13,0.18,587,3907
knn,21.0,PoS|CET,0.51,0.38,0.47,0.55,0.73,0.63,1911,0.45,0.39,0.42,1409,0.26,0.07,0.11,587,3907
svm,{'C': 100.0| 'kernel': 'rbf'| 'max_iter': 50000},CET,0.51,0.38,0.47,0.55,0.76,0.64,1911,0.46,0.36,0.41,1409,0.28,0.07,0.11,587,3907
knn,21.0,CET,0.5,0.37,0.46,0.54,0.74,0.62,1911,0.43,0.35,0.38,1409,0.29,0.07,0.11,587,3907
dt,{'criterion': 'gini'},CET,0.46,0.4,0.46,0.56,0.55,0.55,1911,0.44,0.43,0.43,1409,0.21,0.22,0.21,587,3907
lr,{'C': 0.1| 'penalty': 'l2'},PoS|CET,0.51,0.36,0.46,0.55,0.79,0.64,1911,0.45,0.35,0.39,1409,0.25,0.03,0.05,587,3907
gnb,{},CET,0.47,0.41,0.46,0.57,0.68,0.62,1911,0.41,0.25,0.31,1409,0.25,0.33,0.29,587,3907
gnb,{},PoS|CET,0.45,0.4,0.45,0.57,0.62,0.59,1911,0.44,0.24,0.31,1409,0.23,0.42,0.3,587,3907
dt,{'criterion': 'entropy'},PoS|CET,0.45,0.39,0.45,0.55,0.55,0.55,1911,0.41,0.41,0.41,1409,0.21,0.2,0.2,587,3907
bnb,{},CET,0.48,0.4,0.45,0.55,0.72,0.63,1911,0.42,0.24,0.31,1409,0.25,0.26,0.25,587,3907
lr,{'C': 100.0| 'penalty': 'l2'},CET,0.51,0.35,0.45,0.55,0.8,0.65,1911,0.42,0.32,0.36,1409,0.16,0.02,0.03,587,3907
cnb,{},PoS|CET,0.47,0.38,0.44,0.55,0.74,0.63,1911,0.42,0.18,0.25,1409,0.23,0.28,0.26,587,3907
rf,{'min_samples_split': 9| 'n_estimators': 9},PoS,0.47,0.36,0.44,0.52,0.64,0.57,1911,0.41,0.4,0.41,1409,0.24,0.06,0.1,587,3907
gnb,{},PoS,0.46,0.36,0.43,0.52,0.72,0.6,1911,0.42,0.25,0.31,1409,0.2,0.14,0.17,587,3907
svm,{'C': 100.0| 'kernel': 'rbf'| 'max_iter': 50000},PoS,0.48,0.33,0.43,0.51,0.75,0.61,1911,0.41,0.31,0.35,1409,0.14,0.01,0.02,587,3907
knn,3.0,BoW|CET,0.47,0.35,0.42,0.66,0.32,0.43,1911,0.41,0.86,0.56,1409,0.61,0.03,0.06,587,3907
cnb,{},CET,0.43,0.37,0.42,0.56,0.65,0.6,1911,0.41,0.16,0.23,1409,0.21,0.41,0.27,587,3907
bnb,{},PoS|CET,0.44,0.37,0.42,0.56,0.64,0.6,1911,0.44,0.16,0.23,1409,0.21,0.44,0.29,587,3907
knn,19.0,PoS,0.46,0.31,0.41,0.5,0.71,0.59,1911,0.37,0.3,0.33,1409,0.1,0.01,0.02,587,3907
bnb,{},PoS,0.49,0.31,0.41,0.51,0.82,0.63,1911,0.41,0.23,0.3,1409,0.0,0.0,0.0,587,3907
knn,3.0,BoW|PoS|CET,0.46,0.34,0.41,0.66,0.31,0.42,1911,0.4,0.85,0.55,1409,0.56,0.03,0.06,587,3907
dt,{'criterion': 'entropy'},PoS,0.41,0.35,0.41,0.52,0.5,0.51,1911,0.38,0.39,0.38,1409,0.16,0.17,0.16,587,3907
lr,{'C': 0.1| 'penalty': 'l2'},PoS,0.49,0.3,0.41,0.5,0.84,0.63,1911,0.41,0.21,0.28,1409,0.2,0.0,0.0,587,3907
cnb,{},PoS,0.37,0.34,0.38,0.52,0.46,0.49,1911,0.39,0.21,0.27,1409,0.18,0.45,0.26,587,3907
knn,3.0,BoW,0.44,0.31,0.37,0.73,0.22,0.33,1911,0.39,0.93,0.55,1409,0.62,0.03,0.05,587,3907
knn,3.0,BoW|PoS,0.44,0.31,0.37,0.7,0.21,0.33,1911,0.39,0.92,0.55,1409,0.62,0.03,0.05,587,3907
cnb,{},BoW|CET,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
mnb,{},PoS|CET,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
mnb,{},BoW|CET,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
mnb,{},BoW|PoS|CET,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
mnb,{},CET,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
mnb,{},PoS,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
cnb,{},BoW|PoS|CET,0.49,0.22,0.32,0.49,1.0,0.66,1911,0.0,0.0,0.0,1409,0.0,0.0,0.0,587,3907
